,Unnamed: 0.1,max_season,min_season,player_id,player_name,rapm,rapm_def,rapm_def_rank,rapm_intercept,rapm_off,rapm_off_rank,rapm_rank
486,,2017,2017,203967204456.0,T.J. McConnell,-0.9,0.51,136.0,103.24,-1.41,437.0,353.0
486,,2017,2017,101161202738.0,Isaiah Thomas,3.22,0.73,111.0,103.37,2.49,26.0,16.0
485,,2017,2017,101161202738.0,Amir Johnson,3.22,0.73,111.0,103.37,2.49,26.0,16.0
486,,2017,2017,203476203897.0,Gorgui Dieng,-0.83,0.03,227.0,103.26,-0.86,375.0,346.0
485,,2017,2017,203476203897.0,Zach LaVine,-0.83,0.03,227.0,103.26,-0.86,375.0,346.0
486,,2017,2017,201601201933.0,Blake Griffin,2.83,1.67,28.0,103.28,1.16,75.0,25.0
485,,2017,2017,201601201933.0,Luc Mbah a Moute,2.83,1.67,28.0,103.28,1.16,75.0,25.0
486,,2017,2017,201959202710.0,Taj Gibson,2.66,1.67,28.0,103.26,0.99,86.0,27.0
485,,2017,2017,201959202710.0,Jimmy Butler,2.66,1.67,28.0,103.26,0.99,86.0,27.0
485,,2017,2017,202340203109.0,Jae Crowder,2.18,0.75,111.0,103.31,1.43,57.0,42.0
486,,2017,2017,202340203109.0,Avery Bradley,2.18,0.75,111.0,103.31,1.43,57.0,42.0
486,,2017,2017,2225202695.0,Tony Parker,2.34,0.03,227.0,103.33,2.32,27.0,35.0
485,,2017,2017,2225202695.0,Kawhi Leonard,2.34,0.03,227.0,103.33,2.32,27.0,35.0
540,,2018,2018,201937203952.0,Andrew Wiggins,0.0,0.17,215.0,104.29,-0.17,298.0,260.0
541,,2018,2018,201937203952.0,Ricky Rubio,0.0,0.17,215.0,104.29,-0.17,298.0,260.0
540,,2018,2018,201952202331.0,Paul George,-0.0,-0.35,350.0,104.3,0.35,170.0,262.0
541,,2018,2018,201952202331.0,Jeff Teague,-0.0,-0.35,350.0,104.3,0.35,170.0,262.0
540,,2018,2018,2019371626157.0,Karl-Anthony Towns,-0.0,-0.16,314.0,104.3,0.16,201.0,260.0
541,,2018,2018,2019371626157.0,Ricky Rubio,-0.0,-0.16,314.0,104.3,0.16,201.0,260.0
540,,2018,2018,2034761626157.0,Karl-Anthony Towns,0.51,-0.75,430.0,104.35,1.26,65.0,173.0
541,,2018,2018,2034761626157.0,Gorgui Dieng,0.51,-0.75,430.0,104.35,1.26,65.0,173.0
540,,2018,2018,2023311626167.0,Paul George,0.0,0.0,268.0,104.29,-0.0,241.0,260.0
541,,2018,2018,2023311626167.0,Myles Turner,0.0,0.0,268.0,104.29,-0.0,241.0,260.0
540,,2018,2018,201937203476.0,Ricky Rubio,0.0,-0.19,320.0,104.3,0.19,199.0,260.0
541,,2018,2018,201937203476.0,Gorgui Dieng,0.0,-0.19,320.0,104.3,0.19,199.0,260.0
540,,2018,2018,200755201599.0,DeAndre Jordan,0.0,0.73,120.0,104.27,-0.73,421.0,260.0
541,,2018,2018,200755201599.0,JJ Redick,0.0,0.73,120.0,104.27,-0.73,421.0,260.0
540,,2018,2018,202694203484.0,Marcus Morris Sr.,0.0,-0.44,376.0,104.3,0.44,155.0,260.0
541,,2018,2018,202694203484.0,Kentavious Caldwell-Pope,0.0,-0.44,376.0,104.3,0.44,155.0,260.0
540,,2018,2018,203083203484.0,Andre Drummond,0.0,0.03,263.0,104.29,-0.03,257.0,260.0
541,,2018,2018,203083203484.0,Kentavious Caldwell-Pope,0.0,0.03,263.0,104.29,-0.03,257.0,260.0
540,,2018,2018,201577202710.0,Jimmy Butler,0.0,-0.18,319.0,104.29,0.18,199.0,260.0
541,,2018,2018,201577202710.0,Robin Lopez,0.0,-0.18,319.0,104.29,0.18,199.0,260.0
540,,2018,2018,2544202681.0,LeBron James,0.0,0.39,172.0,104.29,-0.39,355.0,260.0
541,,2018,2018,2544202681.0,Kyrie Irving,0.0,0.39,172.0,104.29,-0.39,355.0,260.0
540,,2018,2018,201152201952.0,Thaddeus Young,0.0,-0.33,344.0,104.3,0.33,175.0,261.0
541,,2018,2018,201152201952.0,Jeff Teague,0.0,-0.33,344.0,104.3,0.33,175.0,261.0
540,,2018,2018,2023391626164.0,Devin Booker,-1.23,-0.4,366.0,104.29,-0.83,437.0,438.0
541,,2018,2018,2023391626164.0,Eric Bledsoe,-1.23,-0.4,366.0,104.29,-0.83,437.0,438.0
540,,2018,2018,203076203524.0,Anthony Davis,0.13,0.24,198.0,104.28,-0.11,282.0,235.0
541,,2018,2018,203076203524.0,Solomon Hill,0.13,0.24,198.0,104.28,-0.11,282.0,235.0
540,,2018,2018,2546201584.0,Courtney Lee,-0.0,0.03,263.0,104.29,-0.03,254.0,260.0
541,,2018,2018,2546201584.0,Carmelo Anthony,-0.0,0.03,263.0,104.29,-0.03,254.0,260.0
540,,2018,2018,202681202684.0,Kyrie Irving,0.0,0.5,155.0,104.28,-0.5,370.0,260.0
541,,2018,2018,202681202684.0,Tristan Thompson,0.0,0.5,155.0,104.28,-0.5,370.0,260.0
540,,2018,2018,202694203083.0,Marcus Morris Sr.,0.0,-0.2,324.0,104.3,0.2,196.0,260.0
541,,2018,2018,202694203083.0,Andre Drummond,0.0,-0.2,324.0,104.3,0.2,196.0,260.0
540,,2018,2018,200746202695.0,Kawhi Leonard,0.8,1.02,79.0,104.27,-0.23,316.0,141.0
541,,2018,2018,200746202695.0,LaMarcus Aldridge,0.8,1.02,79.0,104.27,-0.23,316.0,141.0
540,,2018,2018,202738203109.0,Jae Crowder,-2.65,-1.3,501.0,104.29,-1.35,492.0,517.0
541,,2018,2018,202738203109.0,Isaiah Thomas,-2.65,-1.3,501.0,104.29,-1.35,492.0,517.0
540,,2018,2018,101108201599.0,DeAndre Jordan,0.0,1.0,81.0,104.26,-1.0,459.0,260.0
541,,2018,2018,101108201599.0,Chris Paul,0.0,1.0,81.0,104.26,-1.0,459.0,260.0
